ï»¿"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover In Rs  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"WIPRO","EQ","30-Jul-2025","251.80","251.45","252.50","249.20","250.25","250.20","250.60","60,57,152","1,51,79,02,405.05","63,965","35,31,122","58.30"
"WIPRO","EQ","31-Jul-2025","250.20","248.10","250.15","246.05","248.25","248.30","248.09","73,38,764","1,82,06,87,604.85","84,657","39,12,201","53.31"
"WIPRO","EQ","01-Aug-2025","248.30","246.50","246.90","242.20","242.38","242.75","243.72","74,36,999","1,81,25,70,815.54","99,441","39,65,254","53.32"
"WIPRO","EQ","04-Aug-2025","242.75","242.75","246.42","241.10","245.80","246.05","244.34","52,34,393","1,27,89,90,164.41","64,857","24,10,563","46.05"
"WIPRO","EQ","05-Aug-2025","246.05","246.05","246.95","244.53","245.45","245.91","245.58","73,83,968","1,81,33,47,924.19","64,537","47,40,893","64.21"
"WIPRO","EQ","06-Aug-2025","245.91","246.00","246.00","239.31","239.75","239.96","241.24","77,00,190","1,85,76,10,804.95","1,03,533","40,92,386","53.15"
"WIPRO","EQ","07-Aug-2025","239.96","239.11","243.18","238.61","242.80","242.32","240.43","61,90,830","1,48,84,64,799.61","85,305","30,65,470","49.52"
"WIPRO","EQ","08-Aug-2025","242.32","242.40","243.25","238.40","239.33","239.05","239.78","89,22,847","2,13,95,36,503.10","79,296","56,76,702","63.62"
"WIPRO","EQ","11-Aug-2025","239.05","239.05","244.75","238.62","241.50","241.62","240.78","30,47,287","73,37,14,556.24","63,216","13,29,218","43.62"
"WIPRO","EQ","12-Aug-2025","241.62","242.70","246.29","241.10","241.30","241.72","243.34","81,01,435","1,97,14,12,574.24","96,929","35,57,657","43.91"
"WIPRO","EQ","13-Aug-2025","241.72","242.89","242.89","240.12","241.55","241.65","241.43","58,20,844","1,40,53,06,715.58","71,750","31,16,721","53.54"
"WIPRO","EQ","14-Aug-2025","241.65","243.10","248.43","242.41","246.50","246.81","246.60","1,28,57,225","3,17,06,51,061.33","1,11,213","55,80,221","43.40"
"WIPRO","EQ","18-Aug-2025","246.81","248.64","249.01","244.76","245.60","245.21","246.60","57,89,317","1,42,76,65,639.05","72,478","28,10,030","48.54"
"WIPRO","EQ","19-Aug-2025","245.21","245.46","247.50","244.78","247.15","246.96","246.52","40,90,961","1,00,85,19,025.88","64,648","17,05,414","41.69"
"WIPRO","EQ","20-Aug-2025","246.96","245.30","252.89","245.30","251.00","250.84","250.24","1,00,99,384","2,52,73,02,189.28","1,11,418","39,71,262","39.32"
"WIPRO","EQ","21-Aug-2025","250.84","252.74","252.74","249.61","250.40","249.91","250.50","76,07,486","1,90,56,61,363.72","63,179","46,85,441","61.59"
"WIPRO","EQ","22-Aug-2025","249.91","252.00","253.00","247.61","248.74","248.64","249.26","1,35,72,686","3,38,31,56,214.43","77,178","62,90,213","46.34"
"WIPRO","EQ","25-Aug-2025","248.64","250.60","257.29","250.60","254.40","253.84","255.04","1,63,91,069","4,18,03,62,254.93","1,26,819","46,91,770","28.62"
"WIPRO","EQ","26-Aug-2025","253.84","253.00","254.82","251.31","251.75","252.03","252.45","1,57,97,327","3,98,79,76,984.45","70,418","1,13,86,513","72.08"
"WIPRO","EQ","28-Aug-2025","252.03","252.02","252.35","249.08","249.98","250.65","250.77","58,51,451","1,46,73,39,477.79","68,338","27,20,785","46.50"
"WIPRO","EQ","29-Aug-2025","250.65","250.50","253.10","248.66","249.30","249.41","250.62","1,01,17,017","2,53,55,15,505.88","77,009","51,46,954","50.87"
"WIPRO","EQ","01-Sep-2025","249.41","249.42","252.99","249.40","250.50","250.36","251.05","31,98,345","80,29,50,488.67","54,664","11,68,052","36.52"
"WIPRO","EQ","02-Sep-2025","250.36","250.36","253.15","249.60","250.85","250.93","251.41","50,46,939","1,26,88,58,199.49","64,292","18,09,525","35.85"
"WIPRO","EQ","03-Sep-2025","250.93","251.90","252.40","249.12","249.54","249.56","250.06","38,62,765","96,59,33,614.86","49,289","17,49,286","45.29"
"WIPRO","EQ","04-Sep-2025","249.56","249.50","250.34","244.44","245.45","244.97","246.75","50,21,036","1,23,89,57,213.01","77,917","26,07,695","51.94"
"WIPRO","EQ","05-Sep-2025","244.97","246.10","247.32","241.27","244.36","243.67","244.12","62,33,782","1,52,18,02,138.95","1,07,082","21,90,028","35.13"
"WIPRO","EQ","08-Sep-2025","243.67","244.36","246.99","242.20","242.88","242.52","243.72","65,96,932","1,60,77,87,575.48","86,320","32,94,137","49.93"
"WIPRO","EQ","09-Sep-2025","242.52","245.00","249.85","245.00","249.34","249.15","248.71","1,28,36,972","3,19,26,92,015.32","1,06,736","41,03,086","31.96"
"WIPRO","EQ","10-Sep-2025","249.15","249.30","257.17","249.25","255.71","255.75","255.41","1,52,61,331","3,89,78,28,179.69","1,23,766","70,41,437","46.14"
"WIPRO","EQ","11-Sep-2025","255.75","255.70","255.70","252.17","254.06","253.91","253.47","58,65,301","1,48,66,90,713.02","62,615","26,72,573","45.57"
"WIPRO","EQ","12-Sep-2025","253.91","254.88","255.90","250.82","252.00","251.94","252.20","53,45,794","1,34,82,32,401.02","57,268","24,50,546","45.84"
"WIPRO","EQ","15-Sep-2025","251.94","251.50","251.79","249.60","251.34","251.28","250.85","37,00,703","92,83,15,668.16","54,844","18,44,641","49.85"
"WIPRO","BL","16-Sep-2025","258.99","252.50","252.50","252.50","252.50","252.50","252.50","9,14,544","23,09,22,360.00","1","-","-"
"WIPRO","EQ","16-Sep-2025","251.28","252.00","254.50","250.20","254.50","254.01","252.49","73,16,998","1,84,74,82,576.25","78,519","46,41,420","63.43"
"WIPRO","EQ","17-Sep-2025","254.01","253.30","255.50","252.85","254.17","254.15","254.46","73,39,871","1,86,76,90,948.68","1,06,539","43,74,948","59.61"
"WIPRO","BL","18-Sep-2025","252.50","254.15","254.15","254.15","254.15","254.15","254.15","14,00,000","35,58,10,000.00","1","-","-"
"WIPRO","EQ","18-Sep-2025","254.15","257.00","259.80","256.00","257.10","256.93","257.69","1,04,98,239","2,70,53,37,772.30","91,505","41,09,345","39.14"
"WIPRO","EQ","19-Sep-2025","256.93","257.00","257.66","254.70","256.29","255.88","255.83","1,07,41,757","2,74,80,59,161.68","70,932","77,63,458","72.27"
"WIPRO","EQ","22-Sep-2025","255.88","248.55","251.78","247.21","250.49","250.33","250.17","1,57,84,007","3,94,87,11,872.62","1,83,999","84,68,312","53.65"
"WIPRO","EQ","23-Sep-2025","250.33","250.22","252.00","248.75","249.40","249.63","250.18","86,74,114","2,17,00,99,987.03","78,897","45,99,716","53.03"
"WIPRO","EQ","24-Sep-2025","249.63","248.33","249.12","244.25","244.88","244.59","245.55","78,88,797","1,93,71,12,798.80","1,19,211","40,71,468","51.61"
"WIPRO","EQ","25-Sep-2025","244.59","245.45","245.64","241.28","242.25","242.00","242.95","79,57,740","1,93,33,22,678.20","1,14,006","51,14,663","64.27"
"WIPRO","EQ","26-Sep-2025","242.00","241.45","241.55","235.01","236.50","235.75","236.91","1,69,99,628","4,02,73,67,757.23","1,86,077","1,13,43,723","66.73"
"WIPRO","EQ","29-Sep-2025","235.75","236.88","240.79","236.29","239.40","239.64","239.24","88,94,412","2,12,78,78,611.41","1,13,119","52,07,361","58.55"
"WIPRO","EQ","30-Sep-2025","239.64","239.93","241.50","239.00","239.04","239.37","239.99","55,90,909","1,34,17,63,338.22","76,129","29,82,135","53.34"
"WIPRO","T0","30-Sep-2025","239.64","240.00","240.00","240.00","240.00","239.37","240.00","1","240.00","1","1","100.00"
"WIPRO","EQ","01-Oct-2025","239.37","240.00","243.57","237.84","241.80","241.07","240.59","94,79,378","2,28,06,68,174.63","1,03,764","52,16,469","55.03"
"WIPRO","T0","01-Oct-2025","239.37","239.00","239.00","239.00","239.00","241.07","239.00","1","239.00","1","1","100.00"
"WIPRO","EQ","03-Oct-2025","241.07","240.98","241.40","238.06","241.20","240.98","239.97","1,09,68,346","2,63,20,80,564.36","91,040","64,19,185","58.52"
"WIPRO","EQ","06-Oct-2025","240.98","240.00","242.96","239.32","242.13","242.13","241.51","60,64,946","1,46,47,43,403.78","95,492","26,01,366","42.89"
"WIPRO","EQ","07-Oct-2025","242.13","242.90","245.00","242.14","243.75","243.53","243.37","65,87,728","1,60,32,58,453.63","66,541","32,94,932","50.02"
"WIPRO","EQ","08-Oct-2025","243.53","243.25","246.35","242.57","244.00","244.27","244.60","73,60,563","1,80,04,04,872.52","81,653","29,94,882","40.69"
"WIPRO","EQ","09-Oct-2025","244.27","243.99","246.80","243.16","246.40","246.40","245.76","46,29,760","1,13,78,11,319.81","58,945","20,41,786","44.10"
"WIPRO","T0","09-Oct-2025","244.27","245.00","245.00","245.00","245.00","246.40","245.00","1","245.00","1","1","100.00"
"WIPRO","EQ","10-Oct-2025","246.40","248.00","251.25","246.25","248.98","248.70","249.13","70,70,200","1,76,13,66,742.82","83,077","28,64,560","40.52"
"WIPRO","T0","10-Oct-2025","246.40","247.00","247.00","247.00","247.00","248.70","247.00","2","494.00","2","-","-"
"WIPRO","EQ","13-Oct-2025","248.70","246.06","247.70","244.51","245.15","245.13","245.49","67,17,589","1,64,91,14,845.35","72,184","30,36,379","45.20"
"WIPRO","EQ","14-Oct-2025","245.13","245.80","250.15","245.11","247.80","248.42","248.16","78,88,607","1,95,76,18,716.66","75,705","26,63,376","33.76"
"WIPRO","T0","14-Oct-2025","245.13","248.70","248.70","248.70","248.70","248.42","248.70","1","248.70","1","1","100.00"
"WIPRO","EQ","15-Oct-2025","248.42","250.00","252.13","248.54","250.40","250.21","250.19","1,32,78,925","3,32,23,14,810.09","75,741","67,92,880","51.16"
"WIPRO","T0","15-Oct-2025","248.42","250.00","250.00","250.00","250.00","250.21","250.00","2","500.00","2","2","100.00"
"WIPRO","EQ","16-Oct-2025","250.21","250.40","254.07","248.80","253.70","253.81","252.33","1,06,61,302","2,69,01,92,358.98","96,120","54,15,643","50.80"
"WIPRO","EQ","17-Oct-2025","253.81","250.00","250.00","239.11","240.68","240.90","241.63","4,38,02,251","10,58,40,19,817.01","2,85,578","2,19,79,319","50.18"
"WIPRO","EQ","20-Oct-2025","240.90","240.90","241.94","239.27","241.43","241.24","240.96","98,71,824","2,37,86,86,984.20","98,492","42,60,925","43.16"
"WIPRO","EQ","21-Oct-2025","241.24","241.00","242.16","240.36","241.19","241.36","241.57","20,82,336","50,30,33,334.47","27,617","9,33,907","44.90"
"WIPRO","EQ","23-Oct-2025","241.36","244.80","247.80","243.37","244.30","244.30","245.57","1,89,64,626","4,65,72,03,346.26","1,24,858","1,02,98,038","54.30"
"WIPRO","T0","23-Oct-2025","241.36","245.00","245.00","245.00","245.00","244.30","245.00","3","735.00","1","3","100.00"
"WIPRO","EQ","24-Oct-2025","244.30","245.00","245.88","242.16","243.25","242.98","243.83","68,03,979","1,65,89,80,694.62","62,407","38,93,566","57.22"
"WIPRO","EQ","27-Oct-2025","242.98","243.29","245.73","243.06","243.90","243.91","244.35","95,50,336","2,33,36,43,949.45","65,767","58,96,667","61.74"
"WIPRO","EQ","28-Oct-2025","243.91","243.66","244.70","241.40","242.70","242.38","242.41","87,80,789","2,12,85,91,885.05","89,491","52,72,978","60.05"
"WIPRO","EQ","29-Oct-2025","242.38","243.60","243.60","241.64","242.65","242.28","242.40","87,76,917","2,12,74,95,399.61","67,295","52,94,418","60.32"
"WIPRO","EQ","30-Oct-2025","242.28","242.89","244.77","240.50","242.00","241.92","241.98","83,44,622","2,01,92,62,795.90","79,344","38,15,534","45.72"
"WIPRO","EQ","31-Oct-2025","241.92","242.11","243.19","240.50","240.90","240.67","241.46","56,59,566","1,36,65,65,519.77","67,133","32,33,740","57.14"
