symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
92GS2030,GS,-,100,Interest Payment,29-Sep-2025,29-Sep-2025,-,-,-,GOVERNMENT OF INDIA,IN0020130053,-,
GLENMARK,EQ,-,1,Interim Dividend - Rs 2.50 Per Share,03-Oct-2025,03-Oct-2025,-,-,-,Glenmark Pharmaceuticals Limited,INE935A01035,-,
FCL,EQ,-,2,Interim Dividend - Re 0.80 Per Share,03-Oct-2025,03-Oct-2025,-,-,-,Fineotex Chemical Limited,INE045J01018,-,
SHILPAMED,EQ,-,1,Bonus 1:1,03-Oct-2025,03-Oct-2025,-,-,-,Shilpa Medicare Limited,INE790G01023,-,
SUMEETINDS,EQ,-,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,03-Oct-2025,03-Oct-2025,-,-,-,Sumeet Industries Limited,INE235C01010,-,
SIGMA,EQ,-,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share,06-Oct-2025,06-Oct-2025,-,-,-,Sigma Solve Limited,INE0A0S01010,-,
CYBERTECH,EQ,-,10,Special Dividend - Rs 20 Per Share,06-Oct-2025,06-Oct-2025,-,-,-,Cybertech Systems And Software Limited,INE214A01019,-,
706GS2046,GS,-,100,Interest Payment,09-Oct-2025,09-Oct-2025,-,-,-,GOVERNMENT OF INDIA,IN0020160068,-,
LGHL,EQ,-,10,Bonus 7:5,10-Oct-2025,10-Oct-2025,-,-,-,Laxmi Goldorna House Limited,INE258Y01016,-,
UEL,EQ,-,1,Bonus 2:1,10-Oct-2025,10-Oct-2025,-,-,-,Ujaas Energy Limited,INE899L01030,-,
CAPTRUST,EQ,-,10,Rights 1:1 @ Premium Rs 4/-,10-Oct-2025,10-Oct-2025,-,-,-,Capital Trust Limited,INE707C01018,-,
HEXT,EQ,-,1,Interim Dividend - Rs 5.75 Per Share,10-Oct-2025,10-Oct-2025,-,-,-,Hexaware Technologies Limited,INE093A01041,-,
