Open,High,Low,Close,Volume
1822.69,1844.45,1820.05,1828.23,7161452
1809.26,1814.75,1792.6,1802.7,4715082
1795.54,1802.4,1760.6,1766.24,6039909
1752.32,1752.32,1711.74,1722.28,7545389
1729.39,1730.86,1717.18,1725.81,379518
1690.18,1731.84,1683.81,1728.55,7485687
1724.98,1733.26,1710.27,1719.29,3225058
1728.9,1790.84,1727.57,1787.41,10633092
1776.87,1789.37,1751.44,1767.17,4643368
1781.82,1803.97,1777.07,1793.53,4296459
1792.6,1830.83,1786.28,1823.08,3881475
1833.87,1843.57,1823.97,1831.61,5114223
1824.06,1835.92,1819.36,1831.22,4343939
1828.47,1838.67,1819.07,1827.45,4398970
1812.4,1812.4,1759.28,1775.4,4937500
1789.17,1822.69,1784.32,1788.44,4764584
1805.34,1829.85,1784.37,1797.55,5546887
1817.2,1875.96,1797.5,1864.4,6429431
1877.87,1881.11,1844.55,1852.09,13023811
1867.04,1900.02,1859.54,1885.86,6989587
1891.69,1902.77,1873.71,1886.2,4537438
1876.79,1876.79,1814.8,1819.7,8640740
1814.26,1839.65,1808.28,1820.88,5350827
1822.01,1845.33,1798.68,1842.39,2926500
1849.45,1861.94,1833.91,1854.45,4811541
1846.51,1875.86,1837.69,1851.65,4801115
1862.19,1911.1,1851.36,1896.35,9233790
1894.34,1899.38,1874.34,1884.14,3645884
1885.91,1891.79,1859.45,1885.37,4361437
1900.41,1926.48,1893.55,1909.77,6300296
1916.1,1938.64,1913.16,1934.86,5127652
1935.89,1959.02,1931.34,1947.46,6593337
1930.55,1966.52,1914.92,1959.91,5471577
1955.74,1959.81,1938.25,1940.65,3182553
1928.84,1942.56,1919.04,1937.27,5929037
1927.66,1945.45,1922.56,1939.76,3126308
1895.51,1920.75,1881.79,1907.47,5431682
1935.84,1940.55,1873.22,1883.9,11281216
1891.64,1901.39,1871.01,1886.01,2838274
1888.7,1903.35,1803.38,1871.06,2408472
1871.06,1881.55,1864.44,1869.44,3696889
1871.4,1885.86,1866.01,1878.61,4017447
1877.58,1877.87,1848.96,1868.07,7947204
1854.64,1859.25,1808.33,1842.59,3686422
1836.71,1855.28,1836.71,1845.04,1875694
1849.45,1923.59,1847.78,1918.89,7227471
1914.09,1914.09,1883.75,1900.17,6344253
1913.16,1933.74,1889.63,1899.29,7309869
1906.29,1919.57,1885.37,1892.43,4382034
1891.59,1900.02,1851.16,1894.68,5593357
1895.56,1913.01,1872.53,1879.15,6972250
1898.45,1938.44,1893.8,1927.81,8200094
1917.08,1943.34,1910.21,1923.15,5921999
1929.67,1932.56,1892.67,1901.44,5909766
1908.25,1919.08,1898.55,1910.85,3046055
1926.83,1927.81,1878.7,1890.07,7686541
1814.17,1821.03,1775.94,1779.32,16743141
1786.67,1791.57,1757.47,1777.22,4420988
1782.85,1795.2,1757.37,1764.87,7314670
1771.43,1828.67,1769.23,1819.51,8543937
1821.03,1842.15,1815.83,1828.33,6027416
1828.38,1857.19,1827.15,1838.13,4986253
1811.96,1825.93,1775.94,1785.74,7807745
1793.58,1826.42,1788.58,1793.34,7141613
1808.28,1851.07,1803.87,1843.81,5249622
1835.87,1849.64,1807.3,1822.94,7485007
1833.77,1859.69,1833.77,1842.39,5938649
1842.88,1852.98,1809.26,1814.51,1735947
1799.46,1839.21,1795.94,1826.22,4921159
1851.41,1873.17,1837.69,1861.01,7483712
1868.07,1881.5,1856.6,1859.3,5098198
1878.85,1885.71,1862.19,1877.53,4862008
1881.11,1885.42,1851.85,1865.77,4210039
1867.09,1867.09,1841.22,1842.88,3906472
1845.63,1865.13,1832.79,1838.32,4501174
1847.49,1856.9,1810.24,1826.07,5748338
1831.32,1836.22,1799.12,1806.57,5344091
1817.11,1822.3,1791.97,1819.46,5400429
1801.96,1815.88,1785.89,1805.64,4518881
1805.64,1824.6,1801.03,1815.1,4453892
1810.64,1812.4,1769.96,1774.77,4705041
1769.62,1794.56,1769.62,1788.83,2263054
1785.55,1793.44,1770.26,1778.88,3448504
1764.23,1772.02,1715.42,1728.99,7748923
1710.42,1743.06,1710.42,1732.52,5196370
1720.27,1740.51,1716.25,1729.19,5873971
1720.12,1720.17,1648.97,1654.11,12429514
1658.62,1694.2,1658.62,1674.6,7657350
1661.27,1665.19,1636.77,1654.7,6896921
1658.77,1698.46,1658.77,1677.44,8346885
1680.87,1688.03,1657.45,1681.7,10825984
1669.21,1671.07,1642.16,1652.45,8182155
1652.45,1684.79,1642.84,1667.59,7712458
1646.57,1646.57,1604.47,1628.53,12928511
1604.33,1604.33,1532.68,1559.19,15171929
1567.42,1574.09,1539.05,1548.41,7981724
1514.4,1562.28,1514.4,1558.41,7678840
1565.86,1580.8,1550.86,1577.32,6425930
1571.1,1571.1,1541.5,1554.98,7537055
1560.32,1599.43,1560.32,1583.4,7332670
1546.55,1571.98,1532.53,1560.86,10279233
1566.15,1575.12,1541.4,1561.05,9037573
1573.06,1603.59,1573.06,1596.04,10090949
1593.64,1605.16,1563.26,1567.62,6786350
1563.8,1587.71,1554.44,1571.64,9617970
1558.36,1566.64,1528.96,1539.39,6937095
1508.62,1516.61,1487.64,1496.12,12938203
1504.65,1524.69,1504.65,1519.3,6319230
1504.11,1504.11,1455.5,1466.72,10671874
1431.44,1442.71,1419.18,1422.76,9784975
1325.1,1377.92,1280.99,1368.95,22156159
1402.52,1427.52,1386.84,1400.37,13064994
1377.09,1381.4,1354.4,1375.77,8720389
1383.17,1410.17,1369.25,1381.4,12822609
1416.83,1418.89,1380.96,1397.62,10385195
1396.64,1399.09,1369.0,1384.98,12266850
1370.18,1401.35,1350.87,1391.25,14553848
1381.94,1442.51,1381.94,1422.13,15966707
1411.34,1411.34,1391.06,1394.49,9590590
1417.22,1458.19,1410.95,1445.55,11362760
1440.65,1453.39,1432.42,1442.12,7258740
1446.14,1471.82,1434.38,1450.74,8499111
1450.74,1459.96,1436.14,1452.61,6005767
1452.51,1479.76,1444.77,1467.7,8220327
1467.01,1478.77,1453.1,1470.25,7860609
1469.86,1492.89,1466.43,1476.81,8910329
1484.85,1492.69,1472.89,1478.58,4369444
1476.03,1485.44,1469.27,1481.42,4357239
1470.15,1488.58,1466.82,1478.28,5807365
1477.99,1486.32,1471.33,1481.32,8595458
1470.84,1481.32,1464.37,1477.6,4569587
1506.41,1599.52,1501.51,1594.52,11603772
1576.98,1580.12,1533.46,1537.38,13107040
1542.68,1563.26,1538.27,1560.71,4968938
1558.16,1586.39,1539.74,1580.9,11377580
1580.51,1580.51,1550.03,1558.26,4669677
1545.13,1553.46,1524.74,1528.76,9035606
1538.76,1551.99,1527.0,1529.54,7289050
1536.7,1539.74,1521.21,1537.29,4241719
1524.55,1529.74,1509.35,1516.7,6284042
1519.16,1555.61,1519.16,1533.66,5140721
1535.42,1552.28,1531.6,1549.05,3234467
1548.46,1551.4,1525.43,1538.85,7933592
1549.54,1556.1,1538.76,1540.52,3696939
1557.38,1576.88,1545.23,1554.05,8784307
1555.29,1556.28,1539.55,1547.07,13280901
1544.4,1544.4,1523.61,1538.26,4418695
1543.41,1551.63,1520.24,1527.57,6922629
1527.57,1541.73,1525.99,1535.69,4594249
1532.42,1552.02,1526.18,1538.76,7018726
1539.15,1553.21,1527.67,1548.16,4000020
1562.22,1572.12,1555.29,1557.17,2932527
1568.16,1591.43,1561.72,1580.04,8678712
1574.2,1618.25,1574.2,1614.79,10704454
1600.83,1611.72,1582.12,1592.51,10589468
1560.24,1592.91,1554.5,1585.98,7038702
1584.0,1618.45,1581.13,1607.56,5648325
