Unnamed: 0,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Sep 2025
Equity Capital,286,574,1148,1148,1092,2178,2129,2130,2103,2074,2075,2076,2077
Reserves,41806,47494,59934,66869,62410,60533,60105,69401,67203,65671,79101,85256,90481
Borrowings +,0,0,0,0,0,0,3165,3854,3786,4266,3766,3459,3799
Other Liabilities +,10620,13745,11650,11868,11870,15678,15086,18043,25454,28547,30008,33648,37160
Total Liabilities,52712,61813,72732,79885,75372,78389,80485,93428,98546,100558,114950,124439,133517
Fixed Assets +,5732,7347,8248,8605,9157,10497,13974,14599,14938,15431,14327,13359,13176
CWIP,954,769,934,1247,1442,1212,945,906,411,275,277,778,1089
Investments,6717,6857,11078,24977,17899,18139,17922,24155,28336,28162,34659,38518,38973
Other Assets +,39309,46840,52472,45056,46874,48541,47644,53768,54861,56690,65687,71784,80279
Total Assets,52712,61813,72732,79885,75372,78389,80485,93428,98546,100558,114950,124439,133517
