Unnamed: 0,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales +,31567,32389,30531,31811,32629,32491,32001,33283,34257,34915,34136,35275,36907
Expenses +,23624,24517,22583,23877,24635,24377,24286,25119,25856,26361,25757,26829,28059
Operating Profit,7943,7872,7948,7934,7994,8114,7715,8164,8401,8554,8379,8446,8848
OPM %,25%,24%,26%,25%,24%,25%,24%,25%,25%,24%,25%,24%,24%
Other Income +,1267,1177,766,1001,1350,1582,3483,721,1737,1001,1323,882,2268
Interest,40,41,43,43,89,82,62,59,61,50,51,55,52
Depreciation,682,713,714,746,738,738,722,698,670,661,590,613,595
Profit before tax,8488,8295,7957,8146,8517,8876,10414,8128,9407,8844,9061,8660,10469
Tax %,26%,25%,26%,27%,27%,26%,19%,29%,28%,28%,27%,29%,26%
Net Profit +,6253,6210,5904,5956,6245,6552,8480,5768,6813,6358,6628,6114,7759
EPS in Rs,14.86,14.80,14.23,14.35,15.05,15.79,20.43,13.89,16.41,15.31,15.96,14.72,18.68
Raw PDF,,,,,,,,,,,,,
