Open,High,Low,Close,Volume
1510.0,1510.0,1510.0,1510.0,79920
1507.0,1511.2,1498.1,1504.5,514310
1504.7,1507.9,1503.6,1505.2,190754
1505.0,1508.7,1502.4,1508.1,155107
1508.5,1509.0,1506.4,1509.0,174458
1508.9,1509.9,1508.1,1509.4,211115
1509.4,1512.3,1509.2,1511.7,146594
1511.7,1512.5,1509.0,1512.5,88933
1512.2,1515.2,1511.9,1514.9,140090
1514.3,1515.3,1511.1,1513.0,86772
1512.9,1514.0,1511.3,1512.6,108500
1512.9,1514.1,1511.6,1514.0,60670
1513.9,1515.0,1513.5,1515.0,42808
1514.8,1515.0,1514.0,1514.2,29675
1514.2,1514.4,1512.3,1512.9,28255
1512.5,1513.0,1511.5,1512.7,30952
1512.7,1513.0,1512.0,1512.9,25411
1512.5,1513.1,1509.2,1510.8,127654
1510.8,1511.2,1510.3,1511.1,57495
1511.1,1512.0,1510.2,1510.8,52812
1510.8,1511.7,1510.4,1511.4,52238
1511.3,1512.9,1511.0,1512.3,49665
1512.3,1513.4,1510.7,1510.8,85972
1510.8,1512.3,1510.8,1511.6,38603
1511.4,1512.3,1510.1,1510.6,65984
1510.6,1511.0,1508.5,1508.7,98073
1509.0,1511.4,1508.8,1510.9,130193
1510.9,1511.1,1510.5,1511.0,60247
1511.0,1511.1,1510.2,1510.7,44153
1510.7,1510.9,1509.3,1509.4,47282
1509.5,1509.8,1508.1,1508.2,57361
1508.1,1508.4,1506.1,1508.3,78636
1508.2,1508.7,1507.1,1508.7,49802
1509.7,1509.8,1505.3,1508.6,140151
1508.2,1508.5,1505.7,1505.7,67148
1505.6,1506.4,1505.2,1505.5,61730
1505.6,1506.0,1505.6,1505.8,33609
1505.6,1506.1,1505.6,1505.7,42965
1505.7,1506.3,1504.8,1506.1,96026
1506.1,1507.1,1505.1,1505.1,54278
1505.1,1505.4,1504.5,1505.2,57868
1505.1,1505.3,1504.0,1504.3,51740
1504.5,1504.8,1504.3,1504.8,46049
1504.9,1505.0,1504.5,1504.8,24686
1504.9,1505.0,1504.6,1505.0,23296
1504.9,1505.3,1504.8,1505.3,40923
1505.2,1505.5,1504.4,1504.6,58013
1504.6,1504.7,1503.7,1503.7,36094
1503.5,1503.5,1502.6,1503.2,37654
1503.2,1503.3,1501.7,1501.9,55812
1502.0,1502.7,1501.0,1502.6,79866
1502.7,1503.2,1502.3,1503.2,22848
1503.0,1503.7,1502.6,1503.5,45015
1503.0,1503.8,1503.0,1503.8,22217
1503.8,1504.5,1503.7,1504.4,32431
1504.1,1504.5,1503.8,1504.1,40982
1504.1,1505.0,1504.1,1504.8,55777
1505.0,1505.0,1503.5,1503.7,43883
1503.7,1504.9,1503.3,1503.3,56794
1503.5,1503.7,1502.4,1502.5,96666
1502.5,1502.7,1501.5,1501.7,79889
1501.8,1505.4,1501.6,1505.3,143771
1505.3,1505.3,1503.5,1504.0,68588
1504.0,1504.0,1503.4,1503.9,73127
1503.8,1504.1,1503.5,1503.7,55230
1503.7,1505.2,1502.6,1505.1,183044
